Poly	|V|	|F|	|S|	|B|	|A|	|X|	|E|
7522	10	32	16	16	0	32	0
7523	10	32	32	0	0	32	0
7524	9	20	8	2	0	10	10
7525	10	36	24	12	0	36	0
7526	9	20	8	2	0	10	10
7527	9	20	16	4	0	20	0
7528	9	20	10	10	0	20	0
7529	9	20	5	5	0	10	10
7530	9	20	5	5	0	10	10
7531	10	32	16	0	0	16	16
7532	10	32	16	0	0	16	16
7533	10	36	18	18	0	36	0
7534	10	36	36	0	0	36	0
7535	10	32	32	0	0	32	0
7536	9	20	10	5	0	15	5
7537	9	20	10	10	0	20	0
7538	9	20	5	5	0	10	10
7539	9	20	10	5	0	15	5
7540	9	20	10	10	0	20	0
7541	9	20	20	0	0	20	0
7542	9	23	8	1	0	9	14
7543	9	24	16	8	0	24	0
7544	9	24	8	0	0	8	16
7545	9	24	12	2	0	14	10
7546	9	24	8	4	0	12	12
7547	9	25	18	1	0	19	6
7548	9	24	18	6	0	24	0
7549	9	24	16	8	0	24	0
7550	9	24	24	0	0	24	0
7551	8	12	10	2	0	12	0
7552	8	12	6	6	0	12	0
7553	9	20	10	10	0	20	0
7554	9	20	10	0	0	10	10
7555	8	15	10	5	0	15	0
7556	9	20	5	5	0	10	10
7557	9	20	5	0	0	5	15
7558	8	15	5	5	0	10	5
7559	9	24	12	12	0	24	0
7560	9	24	8	4	0	12	12
7561	9	24	9	3	0	12	12
7562	9	27	12	2	0	14	13
7563	10	32	16	16	0	32	0
7564	10	32	16	0	0	16	16
7565	9	24	16	8	0	24	0
7566	9	24	9	3	0	12	12
7567	9	24	12	12	0	24	0
7568	9	24	12	0	0	12	12
7569	8	16	12	4	0	16	0
7570	9	24	8	4	0	12	12
7571	9	24	4	8	0	12	12
7572	9	28	18	2	0	20	8
7573	10	32	8	8	0	16	16
7574	9	24	8	16	0	24	0
7575	9	24	8	4	0	12	12
7576	9	24	16	4	0	20	4
7577	8	16	8	8	0	16	0
7578	10	36	18	18	0	36	0
7579	10	36	18	0	0	18	18
7580	9	27	18	9	0	27	0
7581	10	36	9	9	0	18	18
7582	9	27	9	0	0	9	18
7583	10	36	12	6	0	18	18
7584	9	27	12	3	0	15	12
7585	11	48	24	24	0	48	0
7586	10	36	24	12	0	36	0
7587	10	36	18	18	0	36	0
7588	10	36	36	0	0	36	0
7589	9	24	9	3	0	12	12
7590	9	24	18	6	0	24	0
7591	9	24	12	12	0	24	0
7592	9	24	8	4	0	12	12
7593	9	24	12	12	0	24	0
7594	9	24	24	0	0	24	0
7595	9	27	18	9	0	27	0
7596	8	15	12	3	0	15	0
7597	12	64	64	64	64	0	64
7598	11	48	48	48	48	0	48
7599	10	32	16	16	0	32	0
7600	10	32	32	32	32	0	32
7601	9	20	10	10	0	20	0
7602	9	20	5	5	0	10	10
7603	10	36	36	36	36	0	36
7604	9	20	10	10	0	20	0
7605	9	20	20	20	20	0	20
7606	8	12	6	6	0	12	0
7607	9	20	10	0	0	10	10
7608	9	24	16	8	0	24	0
7609	9	24	12	12	0	24	0
7610	9	24	24	24	24	0	24
7611	8	12	6	6	0	12	0
7612	8	12	6	6	0	12	0
7613	8	12	12	12	12	0	12
7614	8	15	10	5	0	15	0
7615	8	15	5	10	0	15	0
7616	8	16	12	4	0	16	0
7617	9	27	27	27	27	0	27
7618	8	15	10	5	0	15	0
7619	8	15	15	15	15	0	15
7620	8	16	16	16	16	0	16
7621	7	7	7	7	7	0	7
